"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2006","2006","ISK","Iceland Krona","6","Millions",,,678260.198,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2007","2007","ISK","Iceland Krona","6","Millions",,,774471.629,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2008","2008","ISK","Iceland Krona","6","Millions",,,804805.031,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2009","2009","ISK","Iceland Krona","6","Millions",,,735694.295,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2010","2010","ISK","Iceland Krona","6","Millions",,,774964.506,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2011","2011","ISK","Iceland Krona","6","Millions",,,849320.247,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2012","2012","ISK","Iceland Krona","6","Millions",,,903533.452,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2013","2013","ISK","Iceland Krona","6","Millions",,,978164.367,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2014","2014","ISK","Iceland Krona","6","Millions",,,1041553.975,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2015","2015","ISK","Iceland Krona","6","Millions",,,1157381.057,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2016","2016","ISK","Iceland Krona","6","Millions",,,1295457.976,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2017","2017","ISK","Iceland Krona","6","Millions",,,1425442.807,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2018","2018","ISK","Iceland Krona","6","Millions",,,1562976.756,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2019","2019","ISK","Iceland Krona","6","Millions",,,1615661.06,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2020","2020","ISK","Iceland Krona","6","Millions",,,1588194.833,,
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1970","1970","CHF","Swiss Franc","6","Millions",,,51693.322,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1971","1971","CHF","Swiss Franc","6","Millions",,,60103.061,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1972","1972","CHF","Swiss Franc","6","Millions",,,68314.801,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1973","1973","CHF","Swiss Franc","6","Millions",,,77881.27,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1974","1974","CHF","Swiss Franc","6","Millions",,,86588.008,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1975","1975","CHF","Swiss Franc","6","Millions",,,88734.731,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1976","1976","CHF","Swiss Franc","6","Millions",,,89287.044,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1977","1977","CHF","Swiss Franc","6","Millions",,,91381.663,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1978","1978","CHF","Swiss Franc","6","Millions",,,96065.898,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1979","1979","CHF","Swiss Franc","6","Millions",,,101182.604,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1980","1980","CHF","Swiss Franc","6","Millions",,,109055.662,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1981","1981","CHF","Swiss Franc","6","Millions",,,118147.504,"E","Estimated value"
"CHE","Switzerland","D1","Compensation of employees","C","Current prices","1982","1982","CHF","Swiss Franc","6","Millions",,,126769.842,"E","Estimated value"
