"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1974","1974","PER","Persons","3","Thousands",,,93.3,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1975","1975","PER","Persons","3","Thousands",,,94.9,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1976","1976","PER","Persons","3","Thousands",,,98.3,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1977","1977","PER","Persons","3","Thousands",,,98.6,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1978","1978","PER","Persons","3","Thousands",,,101.5,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1979","1979","PER","Persons","3","Thousands",,,102.5,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1980","1980","PER","Persons","3","Thousands",,,105.9,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1981","1981","PER","Persons","3","Thousands",,,111,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1982","1982","PER","Persons","3","Thousands",,,113.9,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1983","1983","PER","Persons","3","Thousands",,,114.9,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1984","1984","PER","Persons","3","Thousands",,,116.6,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1985","1985","PER","Persons","3","Thousands",,,120.8,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1986","1986","PER","Persons","3","Thousands",,,124.5,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1987","1987","PER","Persons","3","Thousands",,,131.7,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1988","1988","PER","Persons","3","Thousands",,,128,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1989","1989","PER","Persons","3","Thousands",,,125.9,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1990","1990","PER","Persons","3","Thousands",,,126,"B","Break"
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1991","1991","PER","Persons","3","Thousands",,,136.9,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1992","1992","PER","Persons","3","Thousands",,,136.9,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1993","1993","PER","Persons","3","Thousands",,,136.6,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1994","1994","PER","Persons","3","Thousands",,,137.7,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1995","1995","PER","Persons","3","Thousands",,,142,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1996","1996","PER","Persons","3","Thousands",,,142.036,,
"ISL","Iceland","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1997","1997","PER","Persons","3","Thousands",,,142.035,,
