"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1993","200","Canadian dollar","1993","Western calendar year","97227000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1993","100","Canadian dollar                         ","1993","Western calendar year","97227000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1993","1000","Canadian dollar","2008","Western calendar year","36545000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1993","200","Canadian dollar","1993","Western calendar year","36545000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1993","100","Canadian dollar                         ","1993","Western calendar year","36545000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1992","1000","Canadian dollar","2008","Western calendar year","91699000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1992","100","Canadian dollar                         ","1993","Western calendar year","92354000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1992","1000","Canadian dollar","2008","Western calendar year","35011000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1992","100","Canadian dollar                         ","1993","Western calendar year","35011000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1991","1000","Canadian dollar","2008","Western calendar year","87857000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1991","100","Canadian dollar                         ","1993","Western calendar year","87839000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1991","1000","Canadian dollar","2008","Western calendar year","31071000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1991","100","Canadian dollar                         ","1993","Western calendar year","31071000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1990","1000","Canadian dollar","2008","Western calendar year","84500000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1990","100","Canadian dollar                         ","1993","Western calendar year","84641000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1990","1000","Canadian dollar","2008","Western calendar year","28944000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1990","100","Canadian dollar                         ","1993","Western calendar year","28944000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1989","1000","Canadian dollar","2008","Western calendar year","80684000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1989","100","Canadian dollar                         ","1993","Western calendar year","81121000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1989","1000","Canadian dollar","2008","Western calendar year","24849000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1989","100","Canadian dollar                         ","1993","Western calendar year","24849000000",""
